inex,group,level1,level2,level3,level4,value
11,mang_may_tinh,mo_hinh_mang,mang_hinh_vong,,,"Tín hiệu được truyền đi trên vòng theo một chiều duy nhất. Mỗi trạm của mạng được nối với nhau qua một bộ chuyển tiếp (repeater) có nhiệm vụ nhận tín hiệu rồi chuyển tiếp đến trạm kế tiếp trên vòng. Như vậy tín hiệu được lưu chuyển trên vòng theo một chuỗi liên tiếp các liên kết Point–to–Point giữa các repeater.

 - Ưu điểm: Mạng hình vòng có ưu điểm tương tự như mạng hình sao.
 - Nhược điểm: Một trạm hoặc cáp hỏng là toàn bộ mạng bị ngừng hoạt động, thêm hoặc bớt một trạm khó hơn, giao thức truy nhập mạng phức tạp"
12,mang_may_tinh,mo_hinh_mang,mang_ket_hop,,,"Mạng kết hợp (Mesh Network)
Kết hợp hình sao và tuyến tính (Star Bus Network): Cấu hình mạng dạng này có bộ phận tách tín hiệu (splitter) giữ vai trò thiết bị trung tâm, hệ thống dây cáp mạng cấu hình là Star Topology và Linear Bus Topology. Lợi điểm của cấu hình này là mạng có thể gồm nhiều nhóm làm việc ở cách xa nhau, ARCNET là mạng dạng kết hợp Star Bus Network. Cấu hình dạng này đưa lại sự uyển chuyển trong việc bố trí đường dây tương thích dễ dàng đối với bất cứ toà nhà nào.

Kết hợp hình sao và vòng (Star Ring Network): Cấu hình dạng kết hợp Star Ring Network, có một ""thẻ bài"" liên lạc (Token) được chuyển vòng quanh một cái HUB trung tâm. Mỗi trạm làm việc được nối với HUB – là cầu nối giữa các trạm làm việc và để tǎng khoảng cách cần thiết."
13,mang_may_tinh,phuong_phap_truyen_tin,mang_chuyen_mach_kenh,,,"Mạng chuyển mạch kênh (Circuit Switching Network)

Khi có hai trạm cần trao đổi thông tin với nhau thì giữa chúng sẽ được thiết lập một ""kênh"" cố định và được duy trì cho đến khi một trong hai bên ngắt kết nối. Dữ liệu chỉ được truyền theo con đường cố định này. Kỹ thuật chuyển mạch kênh được sử dụng trong các kết nối ATM (Asynchronous Transfer Mode) và Dial-up ISDN (Integrated Services Digital Networks). Ví dụ về mạng chuyển mạch kênh là mạng điện thoại.

Ưu điểm là kênh truyền được dành riêng trong suốt quá trình giao tiếp do đó tốc độ truyền dữ liệu được bảo đảm. Điều này là đặc biệt quan trọng đối với các ứng dụng thời gian thực như audio và video.

Nhược điểm là phải tốn thời gian để thiết lập đường truyền cố định giữa hai trạm; hiệu suất sử dụng đường truyền không cao, vì có lúc trên kênh không có dữ liệu truyền của hai trạm kết nối, nhưng các trạm khác không được sử dụng kênh truyền này."
14,mang_may_tinh,phuong_phap_truyen_tin,mang_chuyen_mach_thong_bao,,,"Mạng chuyển mạch thông báo (Message Switching Network)
Không giống chuyển mạch kênh, chuyển mạch thông báo không thiết lập liên kết dành riêng giữa hai trạm giao tiếp mà thay vào đó mỗi thông báo được xem như một khối độc lập bao gồm cả địa chỉ nguồn và địa chỉ đích. Mỗi thông báo sẽ được truyền qua các trạm trong mạng cho đến khi nó đến được địa chỉ đích, mỗi trạm trung gian sẽ nhận và lưu trữ thông báo cho đến khi trạm trung gian kế tiếp sẵn sàng để nhận thông báo sau đó nó chuyển tiếp thông báo đến trạm kế tiếp, chính vì lý do này mà mạng chuyển mạch thông báo còn có thể được gọi là mạng lưu và chuyển tiếp (Store and Forward Network). Một ví dụ điển hình về kỹ thuật này là dịch vụ thư điện tử (e-mail), nó được chuyển tiếp qua các trạm cho đến khi tới được đích cần đến.

Ưu điểm là cung cấp một sự quản lý hiệu quả hơn đối với sự lưu thông của mạng, bằng cách gán các thứ tự ưu tiên cho các thông báo và đảm bảo các thông báo có độ ưu tiên cao hơn sẽ được lưu chuyển thay vì bị trễ do quá trình lưu thông trên mạng; giảm sự tắc nghẽn trên mạng, các trạm trung gian có thể lưu giữ các thông báo cho đến khi kênh truyền rảnh mới gửi thông báo đi; tăng hiệu quả sử dụng kênh truyền, với kỹ thuật này các trạm có thể dùng chung kênh truyền.

Nhược điểm là độ trễ do việc lưu trữ và chuyển tiếp thông báo là không phù hợp với các ứng dụng thời gian thực, Các trạm trung gian phải có dung lượng bộ nhớ rất lớn để lưu giữ các thông báo trước khi chuyển tiếp nó tới một trạm trung gian khác (kích thước của các thông báo không bị hạn chế)"
15,mang_may_tinh,phuong_phap_truyen_tin,mang_chuyen_mach_goi,,,"Mạng chuyển mạch gói (Packet Switching Network)

Kỹ thuật này được đưa ra nhằm tận dụng các ưu điểm và khắc phục những nhược điểm của hai kỹ thuật trên, đối với kỹ thuật này các thông báo được chia thành các gói tin (packet) có kích thước thay đổi, mỗi gói tin bao gồm dữ liệu, địa chỉ nguồn, địa chỉ đích và các thông tin về địa chỉ các trạm trung gian. Các gói tin riêng biệt không phải luôn luôn đi theo một con đường duy nhất, điều này được gọi là chọn đường độc lập (independent routing).

Ưu điểm là dải thông có thể được quản lý bằng cách chia nhỏ dữ liệu vào các đường khác nhau trong trường hợp kênh truyền bận; nếu một liên kết bị sự cố trong quá trình truyền thông thì các gói tin còn lại có thể được gửi đi theo các con đường khác; điểm khác nhau cơ bản giữa kỹ thuật chuyển mạch thông báo và kỹ thuật chuyển mạch gói là trong kỹ thuật chuyển mạch gói các gói tin được giới hạn về độ dài tối đa điều này cho phép các trạm chuyển mạch có thể lưu giữ các gói tin vào bộ nhớ trong mà không phải đưa ra bộ nhớ ngoài do đó giảm được thời gian truy nhập và tăng hiệu quả truyền tin.

Nhược điểm là khó khăn của phương pháp chuyển mạch gói cần giải quyết là tập hợp các gói tin tại nơi nhận để tạo lại thông báo ban đầu cũng như xử lý việc mất các gói tin."
16,mang_may_tinh,mo_hinh_ung_dung_mang,mo_hinh_mang_ngang_hang,,,"Mô hình mạng ngang hàng (Peer–to–Peer Network)

Mạng peer–to–peer là một ví dụ rất đơn giản của các mạng LAN. Chúng cho phép mọi nút mạng vừa đóng vai trò là thực thể yêu cầu các dịch vụ mạng (client), vừa là các thực thể cung cấp các dịch vụ mạng (server). Trong môi trường này, người dùng trên từng máy tính chịu trách nhiệm điều hành và chia sẻ tài nguyên của máy tính mình. Mô hình này chỉ phù hợp với các tổ chức nhỏ và không quan tâm đến vấn đề bảo mật. Phần mềm mạng peer–to–peer được thiết kế sao cho các thực thể ngang hàng thực hiện cùng các chức năng tương tự nhau.

Các đặc điểm của mạng peer–to–peer là mạng peer–to–peer còn được biết đến như mạng workgroup (nhóm làm việc) và được sử dụng cho các mạng có ≤ 10 người sử dụng (user) làm việc trên mạng đó; không đòi hỏi phải có người quản trị mạng (administrator); trong mạng peer–to–peer mỗ người sử dụng làm việc như người quản trị cho trạm làm việc riêng của họ và chọn tài nguyên hoặc dữ liệu nào mà họ sẽ cho phép chia sẻ trên mạng cũng như quyết định ai có thể truy xuất đến tài nguyên và dữ liệu đó.

Ưu điểm là đơn giản cho việc cài đặt và chi phí tương đối rẻ.

Nhược điểm là Không quản trị tập trung, đặc biệt trong trường hợp có nhiều tài khoản cho một người sử dụng (user) truy xuất vào các trạm làm việc khác nhau; việc bảo mật mạng có thể bị vi phạm với các người sử dụng có chung tên người dùng, mật khẩu truy xuất tới cùng tài nguyên; không thể sao chép dự phòng (backup) dữ liệu tập trung. Dữ liệu được lưu trữ rải rác trên từng trạm."
17,mang_may_tinh,mo_hinh_ung_dung_mang,mo_hinh_mang_khach_chu,,,"Mô hình mạng khách chủ (Client – Server Network / Server Based Network)
Bài chi tiết: Client-server
Mạng khách chủ liên quan đến việc xác định vai trò của các thực thể truyền thông trong mạng. Mạng này xác định thực thể nào có thể tạo ra các yêu cầu dịch vụ và thực thể nào có thể phục vụ các yêu cầu đó.

Các máy được tổ chức thành các miền (domain). An ninh trên các domain được quản lý bởi một số máy chủ đặc biệt gọi là domain controller. Trên domain có một master domain controller được gọi là PDC (Primary Domain Controller) và một BDC (Backup Domain Controller) để đề phòng trường hợp PDC gặp sự cố."
18,mang_may_tinh,mo_hinh_quan_ly_mang,mo_hinh_workgroup,,,"Mô hình mạng Workgroup
Mô hình mạng Workgroup là một nhóm máy tính mạng cùng chia sẻ tài nguyên như file dữ liệu, máy in. Nó là một nhóm lôgíc của các máy tính mà tất cả chúng có cùng tên nhóm. Có thể có nhiều nhóm làm việc (workgroups) khác nhau cùng kết nối trên một mạng cục bộ (LAN).

Mô hình mạng Workgroup cũng được coi là mạng peer-to-peer bởi vì tất cả các máy trong workgroup có quyền chia sẻ tài nguyên như nhau mà không cần sự chỉ định của Server. Mỗi máy tính trong nhóm tự bảo trì, bảo mật cơ sở dữ liệu cục bộ của nó. Điều này có nghĩa là, tất cả sự quản trị về tài khoản người dùng, bảo mật cho nguồn tài nguyên chia sẻ không được tập trung hóa. Bạn có thể kết nối tới một nhóm đã tồn tại hoặc khởi tạo một nhóm mới.

Ưu điểm là Workgroups không yêu cầu máy tính chạy trên hệ điều hành Windows Server để tập trung hóa thông tin bảo mật; workgroups thiết kế và hiện thực đơn giản và không yêu cầu lập kế hoạch có phạm vi rộng và quản trị như domain yêu cầu; workgroups thuận tiện đối với nhóm có số máy tính ít và gần nhau (≤ 10 máy).

Nhược điểm là mỗi người dùng phải có một tài khoản người dùng trên mỗi máy tính mà họ muốn đăng nhập; bất kỳ sự thay đổi tài khoản người dùng, như là thay đổi mật khẩu hoặc thêm tài khoản người dùng mới, phải được làm trên tất cả các máy tính trong Workgroup, nếu bạn quên bổ sung tài khoản người dùng mới tới một máy tính trong nhóm thì người dùng mới sẽ không thể đăng nhập vào máy tính đó và không thể truy xuất tới tài nguyên của máy tính đó; việc chia sẻ thiết bị và file được xử lý bởi các máy tính riêng, và chỉ cho người dùng có tài khoản trên máy tính đó được sử dụng."
19,mang_may_tinh,mo_hinh_quan_ly_mang,mo_hinh_domain,,,"Mô hình mạng Domain
Bài chi tiết: Tên miền
Mô hình mạng Domain là một nhóm máy tính mạng cùng chia sẻ cơ sở dữ liệu thư mục tập trung (central directory database). Thư mục dữ liệu chứa tài khoản người dùng và thông tin bảo mật cho toàn bộ Domain. Thư mục dữ liệu này được biết như là thư mục hiện hành (Active Directory).

Trong một Domain, thư mục chỉ tồn tại trên các máy tính được cấu hình như máy điều khiển miền (domain controller). Một domain controller là một Server quản lý tất cả các khía cạnh bảo mật của Domain. Không giống như mạng Workgroup, bảo mật và quản trị trong domain được tập trung hóa. Để có Domain controller, những máy chủ (server) phải chạy dịch vụ làm Domain controller (dịch vụ được tích hợp sẵn trên các phiên bản Windows Server của Microsoft; hoặc trên Linux, ta cấu hình dịch vụ Samba để làm nhiệm vụ Domain controller,...).

Một domain không được xem như một vị trí đơn hoặc cấu hình mạng riêng biệt. Các máy tính trong cùng domain có thể ở trên một mạng LAN hoặc WAN. Chúng có thể giao tiếp với nhau qua bất kỳ kết nối vật lý nào, như: Dial-up, Integrated Services Digital Network (ISDN), Ethernet, Token Ring, Frame Relay, Satellite, Fibre Channel.

Ưu điểm là cho phép quản trị tập trung. Nếu người dùng thay đổi mật khẩu của họ, thì sự thay sẽ được cập nhật tự động trên toàn Domain; Domain cung cấp quy trình đăng nhập đơn giản để người dùng truy xuất các tài nguyên mạng mà họ được phép truy cập; Domain cung cấp linh động để người quản trị có thể khởi tạo mạng rất rộng lớn.

Các miền điển hình trong Windows Server có thể chứa các kiểu máy tính sau:

  - Máy điều khiển miền (Domain controllers) lưu trữ và bảo trì bản sao thư mục. Trong domain, tài khoản người dùng được tạo một lần, Windows Server ghi nó trong thư mục này. Khi người dùng đăng nhập tới máy tính trong domain, domain controller kiểm tra thư mục nhờ tên người sử dụng, mật khẩu và giới hạn đăng nhập. Khi có nhiều domain controllers, chúng định kỳ tái tạo thông tin thư mục của chúng.
  - Các máy chủ thành viên (Member servers): Một máy member server là một máy chủ mà không được cấu hình như là domain controller. Máy chủ không lưu trữ thông tin thư mục và không thể xác nhận domain người dùng. Các máy chủ có thể cung cấp các tài nguyên chia sẻ như các thư mục dùng chung hay các máy in.
  - Các máy tính trạm (Client computers): Các máy tính trạm chạy một hệ điều hành dùng cho máy trạm của người dùng và cho phép người dùng truy cập tới nguồn tài nguyên trong domain.
Không giống như Workgroup, Domain phải tồn tại trước khi người dùng tham gia vào nó. Việc tham gia vào Domain luôn yêu cầu người quản trị Domain cung cấp tài khoản cho máy tính của người dùng tới domain đó. Tuy nhiên, nếu người quản trị cho người dùng đúng đặc quyền, người dùng có thể khởi tạo tài khoản máy tính của mình trong quá trình cài đặt."
20,mang_may_tinh,thong_so_mang,bang_thong,,,"Trong công nghệ máy tính, băng thông là đại lượng được dùng để chỉ một khối lượng dữ liệu có thể truyền tải được trong một thời gian nhất định. Đối với các thiết bị kỹ thuật số, băng thông được tính với đơn vị bps (bit mỗi giây) hay Bps (byte mỗi giây)."
21,mang_may_tinh,thong_so_mang,do_tre,,,Độ trễ là khoảng thời gian chuyển một thông điệp từ nút này đến nút khác trong hệ thống mạng.
22,mang_may_tinh,thong_so_mang,thong_luong,,,"Thông lượng là lượng dữ liệu đi qua đường truyền trong một đơn vị thời gian. Hay thông lượng là băng thông thực sự mà các ứng dụng mạng được sử dụng trong một thời gian cụ thể (thông lượng có thể được biến đổi theo thời gian).

Thông lượng thường nhỏ hơn nhiều so với băng thông tối đa có thể có của môi trường truyền dẫn được sử dụng (Throughput ≤ Bandwidth).

Thông lượng của mạng máy tính phụ thuộc vào các yếu tố như khoảng cách liên kết, môi trường truyền dẫn, các công nghệ mạng, dạng dữ liệu được truyền, số lượng người dùng trên mạng, máy tính người dùng, máy chủ, …"
23,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_unicast,,,Phương thức unicast: Một nút nguồn muốn gửi một thông điệp đến duy nhất một nút đích trên hệ thống mạng.
24,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_multicast,,,Phương thức multicast: Một nút nguồn muốn gửi một thông điệp đến một nhóm các nút đích trên hệ thống mạng.
25,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,phuong_thuc_broadcast,,,Phương thức broadcast: Một nút nguồn muốn gửi một thông điệp đến tất cả các nút đích khác trên hệ thống mạng.
26,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,dinh_nghia_giao_thuc_truyen_thong,,"Giao thức truyền thông (tiếng Anh là communication protocol, hay gọi tắt là protocol) hay còn được dịch là giao thức giao tiếp, giao thức liên mạng, giao thức tương tác hay giao thức trao đổi thông tin, là một tập hợp các quy tắc chuẩn cho phép hai hoặc nhiều thực thể trong một hệ thống thông tin liên lạc để trao đổi thông tin, dữ liệu qua các kênh truyền thông. Giao thức sẽ định nghĩa các quy tắc (rule), cú pháp (syntax), ngữ nghĩa (semantics). sự đồng bộ (synchronization) trong quá trình truyền thông và có thể thêm phương pháp khắc phục lỗi trên đường truyền. Giao thức truyền thông có thể được thực thi trên phần cứng, phần mềm hoặc cả hai"
27,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,,"Các giao thức truyền thông dành cho truyền thông tín hiệu số trong mạng máy tính có nhiều tính năng để đảm bảo việc trao đổi dữ liệu một cách đáng tin cậy qua một kênh truyền thông không hoàn hảo.

Có nhiều giao thức được sử dụng để giao tiếp hoặc truyền đạt thông tin trên Internet, dưới đây là một số các giao thức tiêu biểu:"
28,mang_may_tinh,phuong_phap_truyen_thong_du_lieu,giao_thuc_truyen_thong,cac_loai_giao_thuc_tieu_bieu,giao_thuc_TCP,TCP (Transmission Control Protocol): thiết lập kết nối giữa các máy tính để truyền dữ liệu. Nó chia nhỏ dữ liệu ra thành những gói (packet) và đảm bảo việc truyền dữ liệu thành công.
